Comercio;Fecha Presentaci�n;Tipo Movimiento;Tarjeta (4 �lt. Dig.);Nro. Cup�n;Marca;Moneda;Imp. Bruto;Dto. Arancel;Fecha Pago;Nro. Liquidaci�n
21828002;18/09/2017;Venta ctdo;1013;32;MASTERCARD DEBIT;$;720;10.8;20/09/2017;91290
21828002;18/09/2017;Venta ctdo;79;227;MASTERCARD DEBIT;$;792;11.88;20/09/2017;91290
21828002;18/09/2017;Venta ctdo;1248;235;MASTERCARD DEBIT;$;792;11.88;20/09/2017;91290
21828002;18/09/2017;Venta ctdo;3189;246;MASTERCARD DEBIT;$;792;11.88;20/09/2017;91290
21828002;18/09/2017;Venta ctdo;2844;247;MASTERCARD DEBIT;$;792;11.88;20/09/2017;91290
21828002;14/09/2017;Venta ctdo;3519;30;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;6917;31;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;2649;164;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;8545;165;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;2513;166;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;7683;167;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;6098;168;MASTERCARD;$;363;9.08;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;3002;169;MASTERCARD;$;825;20.63;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;5990;170;MASTERCARD;$;1298;32.45;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;5501;171;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;3416;172;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;5687;173;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;8222;174;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;2870;175;MASTERCARD;$;1815;45.38;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;7470;176;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;581;177;MASTERCARD;$;825;20.63;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;6868;178;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;9715;179;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;8211;180;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;8211;181;MASTERCARD;$;737;18.43;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;9659;182;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;9679;183;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;3908;184;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;648;185;MASTERCARD;$;737;18.43;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;1976;186;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;14/09/2017;Venta ctdo;4395;187;MASTERCARD;$;792;19.8;10/10/2017;91312
21828002;19/09/2017;Venta ctdo;380;36;MAESTRO;$;750;9.0;21/09/2017;91340
21828002;19/09/2017;Venta ctdo;525;261;MASTERCARD DEBIT;$;792;11.88;21/09/2017;91348
21828002;15/09/2017;Venta ctdo;892;34;MASTERCARD;$;792;19.8;11/10/2017;91374
21828002;15/09/2017;Venta ctdo;920;188;MASTERCARD;$;792;19.8;11/10/2017;91374
21828002;15/09/2017;Venta ctdo;7465;189;MASTERCARD;$;825;20.63;11/10/2017;91374
