
Detalle de Transacciones de TAXI EZEIZA                   Desde: 31/10/2016Hasta: 03/11/2016

Fecha Presentacion,Lote,Fecha Pago,Descripcion,Fecha Origen,Comprobante,Tarjeta,Plan,Cuota,Moneda,Importe
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000132 ,XXXX XXXX XXXX1026,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000133 ,XXXX XXXX XXXX3804,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000136 ,XXXX XXXX XXXX8846,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000138 ,XXXX XXXX XXXX5037,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000145 ,XXXX XXXX XXXX9799,0,0,pesos,630.00
31 Oct 2016,0,02 Nov 2016,CONS. $  ,28 Oct 2016,0000146 ,XXXX XXXX XXXX0095,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000147 ,XXXX XXXX XXXX1008,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000149 ,XXXX XXXX XXXX6993,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,28 Oct 2016,0000152 ,XXXX XXXX XXXX0052,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000154 ,XXXX XXXX XXXX7061,0,0,pesos,749.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000156 ,XXXX XXXX XXXX0156,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000157 ,XXXX XXXX XXXX4422,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000158 ,XXXX XXXX XXXX4838,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000159 ,XXXX XXXX XXXX4281,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000161 ,XXXX XXXX XXXX4936,0,0,pesos,749.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000163 ,XXXX XXXX XXXX8582,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000164 ,XXXX XXXX XXXX0207,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000166 ,XXXX XXXX XXXX3419,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000168 ,XXXX XXXX XXXX8076,0,0,pesos,304.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000169 ,XXXX XXXX XXXX1312,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000170 ,XXXX XXXX XXXX4516,0,0,pesos,652.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000172 ,XXXX XXXX XXXX5129,0,0,pesos,847.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000174 ,XXXX XXXX XXXX1112,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000175 ,XXXX XXXX XXXX7861,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000177 ,XXXX XXXX XXXX5007,0,0,pesos,652.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000178 ,XXXX XXXX XXXX8095,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000179 ,XXXX XXXX XXXX1551,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000181 ,XXXX XXXX XXXX4117,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000183 ,XXXX XXXX XXXX3752,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000184 ,XXXX XXXX XXXX8741,0,0,pesos,652.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000187 ,XXXX XXXX XXXX9514,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000188 ,XXXX XXXX XXXX1958,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000189 ,XXXX XXXX XXXX3324,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000190 ,XXXX XXXX XXXX4936,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000193 ,XXXX XXXX XXXX5837,0,0,pesos,652.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000195 ,XXXX XXXX XXXX5937,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000196 ,XXXX XXXX XXXX8203,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000197 ,XXXX XXXX XXXX2010,0,0,pesos,630.00
31 Oct 2016,0,24 Nov 2016,CONS. $  ,29 Oct 2016,0000198 ,XXXX XXXX XXXX0981,0,0,pesos,304.00
