Licencia	Fecha y Hora del Viaje	Destino	Obs. Factura	Total Fact.	Cond. Venta	Pago $	Pago u$s	Pago EU	Comisión	IVA	Letra	Talonario	Comprabante	Compensado	Fecha de Compensado	Usuario	Nro. de Caja	nrCupon	Observación
100	10/10/2010	RET  (1 DESTINO) 		98.	Contado	98.	.	.	.	.	B	0008	00022428    	NO		DANIA		9000783352	
102	25/12/2009 13:57:32	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00091424    	NO		BFAZZALARI		9000601728	
102	25/03/2010 08:22:00	ABASTO PLAZA  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0003	00092737    	NO		MARIANA		9000658854	
102	01/03/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0003	00090219    	NO		MARIANA		9000640300	
104	27/01/2010 01:27:23	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		138.	Contado	138.	.	.	8.	.	B	0006	00174194    	NO		DAVID		9000622484	
104	06/07/2010	LA LUCILA - VICENTE LOPEZ  (1 DESTINO) 		125.	Contado	125.	.	.	8.	.	B	0006	00209419    	NO		MARIANA		9000701413	
105	26/12/2009 08:47:40	PLAZA ITALIA  - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0002	00088859    	NO		LUCAS		9000602202	
105	22/10/2010 12:52:24	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	FLORIDA 328	130.	Contado	130.	.	.	10.	.	B	0006	00251462    	NO		LAUTARO		9000791516	
106	16/09/2010 21:13:02	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0005	00137621    	NO		CECILIA		9000767774	
107	06/11/2010	CABALLITO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00118505    	NO		CSOSA		9000703747	
107	18/03/2010 05:24:59	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00106350    	NO		LUCAS		9000654185	
107	09/05/2010	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		148.	Contado	148.	.	.	10.	.	B	0007	00131034    	NO		CSAVO		9000760657	
108	22/12/2010 08:35:43	RET  (1 DESTINO) 		120.	Contado	120.	.	.	12.	.	B	0008	00029408    	NO		NOEMI		9000836725	
108	17/11/2010 09:19:17	RET  (1 DESTINO) 		98.	Contado	98.	.	.	.	.	B	0008	00026214    	NO		NOEMI		9000812563	
