NREG_ERR;DESC ERR
3070;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
5333;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
6622;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
7129;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
7395;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8141;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8516;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
8540;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
8544;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8567;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8676;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8814;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
8968;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
9071;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
9143;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
9503;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
9540;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
9548;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
9739;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
9911;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
10020;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
10028;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
10186;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
