NREG_ERR;DESC ERR
103;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
2935;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
6326;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
6472;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
7318;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8790;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
9566;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
9930;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
11549;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
11918;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
