NREG_ERR;DESC ERR
2936;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
6327;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
6473;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
7319;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8791;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
POR ACAAAA 
9567;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
9931;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
11550;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
11919;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
