
Detalle de Transacciones de TAXI EZEIZA                   Desde: 31/07/2017Hasta: 31/08/2017

Fecha Presentacion,Lote,Fecha Pago,Descripcion,Fecha Origen,Comprobante,Tarjeta,Plan,Cuota,Moneda,Importe
31 Jul 2017,761,02 Aug 2017,CONS. $  ,28 Jul 2017,0009270 ,XXXX XXXX XXXX7465,0,0,pesos,720.00
31 Jul 2017,761,02 Aug 2017,CONS. $  ,28 Jul 2017,0009271 ,XXXX XXXX XXXX3005,0,0,pesos,720.00
31 Jul 2017,761,02 Aug 2017,CONS. $  ,28 Jul 2017,0009272 ,XXXX XXXX XXXX7636,0,0,pesos,790.00
31 Jul 2017,761,02 Aug 2017,CONS. $  ,28 Jul 2017,0009273 ,XXXX XXXX XXXX8212,0,0,pesos,720.00
31 Jul 2017,761,02 Aug 2017,CONS. $  ,28 Jul 2017,0009274 ,XXXX XXXX XXXX5535,0,0,pesos,930.00
31 Jul 2017,761,02 Aug 2017,CONS. $  ,28 Jul 2017,0009275 ,XXXX XXXX XXXX8483,0,0,pesos,950.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,28 Jul 2017,0009276 ,XXXX XXXX XXXX0735,0,0,pesos,970.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,28 Jul 2017,0009277 ,XXXX XXXX XXXX0675,0,0,pesos,720.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,28 Jul 2017,0009278 ,XXXX XXXX XXXX0074,0,0,pesos,950.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,29 Jul 2017,0009279 ,XXXX XXXX XXXX7668,0,0,pesos,720.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,29 Jul 2017,0009280 ,XXXX XXXX XXXX7393,0,0,pesos,720.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,29 Jul 2017,0009281 ,XXXX XXXX XXXX4783,0,0,pesos,720.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,29 Jul 2017,0009282 ,XXXX XXXX XXXX4004,0,0,pesos,720.00
31 Jul 2017,762,02 Aug 2017,CONS. $  ,29 Jul 2017,0009283 ,XXXX XXXX XXXX6824,0,0,pesos,860.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009284 ,XXXX XXXX XXXX2341,0,0,pesos,930.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009285 ,XXXX XXXX XXXX5046,0,0,pesos,720.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009286 ,XXXX XXXX XXXX1032,0,0,pesos,720.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009287 ,XXXX XXXX XXXX5950,0,0,pesos,750.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009288 ,XXXX XXXX XXXX2177,0,0,pesos,860.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009289 ,XXXX XXXX XXXX5646,0,0,pesos,1.200.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009290 ,XXXX XXXX XXXX2248,0,0,pesos,900.00
31 Jul 2017,763,02 Aug 2017,CONS. $  ,29 Jul 2017,0009291 ,XXXX XXXX XXXX7510,0,0,pesos,750.00
31 Jul 2017,764,02 Aug 2017,CONS. $  ,29 Jul 2017,0009292 ,XXXX XXXX XXXX5578,0,0,pesos,720.00
31 Jul 2017,764,02 Aug 2017,CONS. $  ,29 Jul 2017,0009293 ,XXXX XXXX XXXX6315,0,0,pesos,720.00
31 Jul 2017,764,02 Aug 2017,CONS. $  ,29 Jul 2017,0009294 ,XXXX XXXX XXXX0029,0,0,pesos,790.00
31 Jul 2017,764,02 Aug 2017,CONS. $  ,29 Jul 2017,0009295 ,XXXX XXXX XXXX0029,0,0,pesos,720.00
