
Detalle de Transacciones de TAXI EZEIZA                   Desde: 01/11/2017Hasta: 14/11/2017

Fecha Presentacion,Lote,Fecha Pago,Descripcion,Fecha Origen,Comprobante,Tarjeta,Plan,Cuota,Moneda,Importe
01 Nov 2017,0,29 Nov 2017,CONS. $  ,01 Nov 2017,0001182 ,XXXX XXXX XXXX3743,0,0,pesos,792.00
01 Nov 2017,46,03 Nov 2017,CONS. $  ,31 Oct 2017,0001173 ,XXXX XXXX XXXX1416,0,0,pesos,720.00
01 Nov 2017,46,03 Nov 2017,CONS. $  ,31 Oct 2017,0001174 ,XXXX XXXX XXXX9012,0,0,pesos,750.00
01 Nov 2017,46,03 Nov 2017,CONS. $  ,31 Oct 2017,0001175 ,XXXX XXXX XXXX6213,0,0,pesos,720.00
01 Nov 2017,46,03 Nov 2017,CONS. $  ,31 Oct 2017,0001176 ,XXXX XXXX XXXX1253,0,0,pesos,680.00
01 Nov 2017,47,03 Nov 2017,CONS. $  ,31 Oct 2017,0001177 ,XXXX XXXX XXXX1109,0,0,pesos,720.00
01 Nov 2017,47,03 Nov 2017,CONS. $  ,31 Oct 2017,0001178 ,XXXX XXXX XXXX6730,0,0,pesos,330.00
01 Nov 2017,47,03 Nov 2017,CONS. $  ,01 Nov 2017,0001179 ,XXXX XXXX XXXX7746,0,0,pesos,720.00
01 Nov 2017,47,03 Nov 2017,CONS. $  ,01 Nov 2017,0001180 ,XXXX XXXX XXXX8596,0,0,pesos,720.00
01 Nov 2017,48,03 Nov 2017,CONS. $  ,01 Nov 2017,0001181 ,XXXX XXXX XXXX0006,0,0,pesos,720.00
01 Nov 2017,48,03 Nov 2017,CONS. $  ,01 Nov 2017,0001183 ,XXXX XXXX XXXX4066,0,0,pesos,720.00
01 Nov 2017,48,03 Nov 2017,CONS. $  ,01 Nov 2017,0001184 ,XXXX XXXX XXXX8005,0,0,pesos,720.00
01 Nov 2017,48,03 Nov 2017,CONS. $  ,01 Nov 2017,0001185 ,XXXX XXXX XXXX2035,0,0,pesos,720.00
02 Nov 2017,49,07 Nov 2017,CONS. $  ,01 Nov 2017,0001186 ,XXXX XXXX XXXX7963,0,0,pesos,720.00
02 Nov 2017,49,07 Nov 2017,CONS. $  ,01 Nov 2017,0001187 ,XXXX XXXX XXXX7052,0,0,pesos,720.00
02 Nov 2017,49,07 Nov 2017,CONS. $  ,01 Nov 2017,0001188 ,XXXX XXXX XXXX1028,0,0,pesos,750.00
02 Nov 2017,49,07 Nov 2017,CONS. $  ,01 Nov 2017,0001189 ,XXXX XXXX XXXX8011,0,0,pesos,680.00
02 Nov 2017,49,07 Nov 2017,CONS. $  ,01 Nov 2017,0001190 ,XXXX XXXX XXXX3021,0,0,pesos,720.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,01 Nov 2017,0001191 ,XXXX XXXX XXXX4705,0,0,pesos,720.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,01 Nov 2017,0001192 ,XXXX XXXX XXXX1473,0,0,pesos,990.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,02 Nov 2017,0001194 ,XXXX XXXX XXXX6900,0,0,pesos,1.060.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,02 Nov 2017,0001195 ,XXXX XXXX XXXX0119,0,0,pesos,720.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,02 Nov 2017,0001196 ,XXXX XXXX XXXX4142,0,0,pesos,720.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,02 Nov 2017,0001197 ,XXXX XXXX XXXX9460,0,0,pesos,720.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,02 Nov 2017,0001198 ,XXXX XXXX XXXX3007,0,0,pesos,720.00
02 Nov 2017,50,07 Nov 2017,CONS. $  ,02 Nov 2017,0001199 ,XXXX XXXX XXXX3677,0,0,pesos,720.00
02 Nov 2017,51,07 Nov 2017,CONS. $  ,02 Nov 2017,0001200 ,XXXX XXXX XXXX7012,0,0,pesos,1.180.00
02 Nov 2017,51,07 Nov 2017,CONS. $  ,02 Nov 2017,0001201 ,XXXX XXXX XXXX4414,0,0,pesos,790.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,02 Nov 2017,0001202 ,XXXX XXXX XXXX7080,0,0,pesos,390.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,02 Nov 2017,0001203 ,XXXX XXXX XXXX7080,0,0,pesos,390.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,02 Nov 2017,0001204 ,XXXX XXXX XXXX0179,0,0,pesos,720.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,02 Nov 2017,0001205 ,XXXX XXXX XXXX5581,0,0,pesos,720.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,03 Nov 2017,0001206 ,XXXX XXXX XXXX6582,0,0,pesos,350.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,03 Nov 2017,0001207 ,XXXX XXXX XXXX1100,0,0,pesos,720.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,03 Nov 2017,0001208 ,XXXX XXXX XXXX2028,0,0,pesos,870.00
03 Nov 2017,52,08 Nov 2017,CONS. $  ,03 Nov 2017,0001209 ,XXXX XXXX XXXX5150,0,0,pesos,720.00
03 Nov 2017,53,08 Nov 2017,CONS. $  ,03 Nov 2017,0001210 ,XXXX XXXX XXXX2165,0,0,pesos,860.00
03 Nov 2017,53,08 Nov 2017,CONS. $  ,03 Nov 2017,0001211 ,XXXX XXXX XXXX6335,0,0,pesos,720.00
03 Nov 2017,53,08 Nov 2017,CONS. $  ,03 Nov 2017,0001212 ,XXXX XXXX XXXX4940,0,0,pesos,690.00
03 Nov 2017,53,08 Nov 2017,CONS. $  ,03 Nov 2017,0001213 ,XXXX XXXX XXXX7371,0,0,pesos,720.00
07 Nov 2017,0,04 Dec 2017,CONS. $  ,03 Nov 2017,0001215 ,XXXX XXXX XXXX5448,0,0,pesos,792.00
07 Nov 2017,54,09 Nov 2017,CONS. $  ,03 Nov 2017,0001214 ,XXXX XXXX XXXX9874,0,0,pesos,720.00
07 Nov 2017,54,09 Nov 2017,CONS. $  ,03 Nov 2017,0001216 ,XXXX XXXX XXXX3329,0,0,pesos,720.00
07 Nov 2017,54,09 Nov 2017,CONS. $  ,03 Nov 2017,0001217 ,XXXX XXXX XXXX1399,0,0,pesos,720.00
07 Nov 2017,54,09 Nov 2017,CONS. $  ,03 Nov 2017,0001218 ,XXXX XXXX XXXX0268,0,0,pesos,720.00
07 Nov 2017,55,09 Nov 2017,CONS. $  ,03 Nov 2017,0001219 ,XXXX XXXX XXXX2836,0,0,pesos,750.00
07 Nov 2017,55,09 Nov 2017,CONS. $  ,04 Nov 2017,0001220 ,XXXX XXXX XXXX3928,0,0,pesos,720.00
07 Nov 2017,55,09 Nov 2017,CONS. $  ,04 Nov 2017,0001221 ,XXXX XXXX XXXX0016,0,0,pesos,720.00
07 Nov 2017,55,09 Nov 2017,CONS. $  ,04 Nov 2017,0001222 ,XXXX XXXX XXXX0406,0,0,pesos,720.00
07 Nov 2017,55,09 Nov 2017,CONS. $  ,04 Nov 2017,0001223 ,XXXX XXXX XXXX8128,0,0,pesos,1.050.00
07 Nov 2017,55,09 Nov 2017,CONS. $  ,04 Nov 2017,0001224 ,XXXX XXXX XXXX7991,0,0,pesos,720.00
07 Nov 2017,56,09 Nov 2017,CONS. $  ,04 Nov 2017,0001225 ,XXXX XXXX XXXX5033,0,0,pesos,400.00
07 Nov 2017,56,09 Nov 2017,CONS. $  ,04 Nov 2017,0001226 ,XXXX XXXX XXXX9146,0,0,pesos,860.00
07 Nov 2017,56,09 Nov 2017,CONS. $  ,04 Nov 2017,0001227 ,XXXX XXXX XXXX3295,0,0,pesos,1.140.00
