NREG_ERR;DESC ERR
951;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
1650;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
3880;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
6913;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
7644;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8157;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
8995;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
11044;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
11681;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
11682;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
13805;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
