Comercio;Fecha Presentaci�n;Tipo Movimiento;Tarjeta (4 �lt. Dig.);Nro. Cup�n;Marca;Moneda;Imp. Bruto;Dto. Arancel;Fecha Pago;Nro. Liquidaci�n
21828002;23/10/2017;Venta ctdo;160;110;MAESTRO;$;720;8.64;25/10/2017;92988
21828002;23/10/2017;Venta ctdo;3775;900;MASTERCARD DEBIT;$;792;11.88;25/10/2017;93010
21828002;23/10/2017;Venta ctdo;4197;916;MASTERCARD DEBIT;$;825;12.38;25/10/2017;93010
21828002;23/10/2017;Venta ctdo;2112;937;MASTERCARD DEBIT;$;737;11.06;25/10/2017;93010
21828002;19/10/2017;Venta ctdo;3171;108;MASTERCARD;$;825;20.63;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;3973;106;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;9884;856;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;7595;857;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;7062;858;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;8549;860;MASTERCARD;$;385;9.63;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;5283;861;MASTERCARD;$;385;9.63;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;8422;862;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;8573;863;MASTERCARD;$;946;23.65;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;6924;864;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;3510;865;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;3510;866;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;4049;867;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;6049;868;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;7043;869;MASTERCARD;$;825;20.63;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;3951;870;MASTERCARD;$;825;20.63;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;2269;871;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;5513;872;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;1783;873;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;9864;874;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;9864;875;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;9338;876;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;7056;877;MASTERCARD;$;825;20.63;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;2526;878;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;6800;879;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;4042;880;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;19/10/2017;Venta ctdo;9782;881;MASTERCARD;$;792;19.8;15/11/2017;93036
21828002;24/10/2017;Venta ctdo;1007;976;MAESTRO;$;792;9.5;26/10/2017;93060
21828002;20/10/2017;Venta ctdo;5901;891;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;5901;892;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;7406;893;MASTERCARD;$;429;10.73;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;9794;894;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;9017;895;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;1934;896;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;2216;15;MASTERCARD;$;737;18.43;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;5124;16;MASTERCARD;$;770;19.25;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;5992;17;MASTERCARD;$;737;18.43;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;3865;18;MASTERCARD;$;737;18.43;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;1498;109;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;846;882;MASTERCARD;$;825;20.63;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;3963;884;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;1131;885;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;5814;886;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;6042;887;MASTERCARD;$;792;19.8;16/11/2017;93097
21828002;20/10/2017;Venta ctdo;6498;888;MASTERCARD;$;792;19.8;16/11/2017;93097
