NREG_ERR;DESC ERR
1138;EL CAMPO CODIGO DE DOCUMENTO DEL COMPRADOR DEBE SER IGUAL A 80 - CUIT
2227;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
3098;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
3599;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
4357;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
7440;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
8897;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
10176;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
10212;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
12714;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
