NRO_COMERCIO;NRO_TERMINAL;FECHA_VIAJE;MARCA_TARJETA;NRO_LOTE;NRO_CUPON;IMPORTE_CUPON;TIPO_MOVIMIENTO
30605659981;15186946;06/02/2018;AMEX;1;640;858;VENTA
30605659981;15186946;06/02/2018;AMEX;1;642;858;VENTA
30605659981;15186946;08/02/2018;AMEX;2;153;858;VENTA
30605659981;15186946;08/02/2018;AMEX;2;155;858;VENTA
30605659981;15186946;08/02/2018;AMEX;1;644;858;VENTA
30605659981;15186946;08/02/2018;AMEX;1;645;858;VENTA
30605659981;15186946;08/02/2018;AMEX;1;646;891;VENTA
30605659981;15186946;08/02/2018;AMEX;1;648;858;VENTA
30605659981;15186946;09/02/2018;AMEX;1;650;858;VENTA
30605659981;15186946;09/02/2018;AMEX;2;157;858;VENTA
30605659981;15186946;09/02/2018;AMEX;2;158;858;VENTA
30605659981;15186946;12/02/2018;AMEX;2;160;858;VENTA
30605659981;15186946;12/02/2018;AMEX;1;652;1364;VENTA
30605659981;15186946;12/02/2018;AMEX;1;653;858;VENTA
