
Detalle de Transacciones de TAXI EZEIZA                   Desde: 02/09/2016Hasta: 06/09/2016

Fecha Presentacion,Lote,Fecha Pago,Descripcion,Fecha Origen,Comprobante,Tarjeta,Plan,Cuota,Moneda,Importe
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000044 ,XXXX XXXX XXXX7973,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000046 ,XXXX XXXX XXXX8387,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000047 ,XXXX XXXX XXXX7620,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000619 ,XXXX XXXX XXXX8118,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000620 ,XXXX XXXX XXXX0016,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000622 ,XXXX XXXX XXXX5148,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000623 ,XXXX XXXX XXXX8358,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000624 ,XXXX XXXX XXXX8358,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,01 Sep 2016,0000625 ,XXXX XXXX XXXX7782,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000627 ,XXXX XXXX XXXX3601,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000632 ,XXXX XXXX XXXX3321,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000633 ,XXXX XXXX XXXX7439,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000634 ,XXXX XXXX XXXX7275,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000635 ,XXXX XXXX XXXX7630,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000639 ,XXXX XXXX XXXX5275,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000640 ,XXXX XXXX XXXX3332,0,0,pesos,630.00
02 Sep 2016,0,28 Sep 2016,CONS. $  ,02 Sep 2016,0000641 ,XXXX XXXX XXXX7240,0,0,pesos,630.00
02 Sep 2016,14,28 Sep 2016,CONS. $  ,01 Sep 2016,0000045 ,XXXX XXXX XXXX8039,0,0,pesos,630.00
02 Sep 2016,15,28 Sep 2016,CONS. $  ,01 Sep 2016,0000048 ,XXXX XXXX XXXX8007,0,0,pesos,999.99
02 Sep 2016,15,06 Sep 2016,CONS. $  ,01 Sep 2016,0000049 ,XXXX XXXX XXXX7543,0,0,pesos,630.00
02 Sep 2016,47,28 Sep 2016,CONS. $  ,01 Sep 2016,0000621 ,XXXX XXXX XXXX4251,0,0,pesos,760.00
02 Sep 2016,48,06 Sep 2016,CONS. $  ,01 Sep 2016,0000626 ,XXXX XXXX XXXX3991,0,0,pesos,630.00
02 Sep 2016,49,28 Sep 2016,CONS. $  ,02 Sep 2016,0000628 ,XXXX XXXX XXXX5110,0,0,pesos,847.00
02 Sep 2016,49,28 Sep 2016,CONS. $  ,02 Sep 2016,0000629 ,XXXX XXXX XXXX3376,0,0,pesos,738.00
02 Sep 2016,49,28 Sep 2016,CONS. $  ,02 Sep 2016,0000630 ,XXXX XXXX XXXX5527,0,0,pesos,630.00
02 Sep 2016,49,28 Sep 2016,CONS. $  ,02 Sep 2016,0000631 ,XXXX XXXX XXXX8483,0,0,pesos,749.00
02 Sep 2016,49,28 Sep 2016,CONS. $  ,02 Sep 2016,0000636 ,XXXX XXXX XXXX9999,0,0,pesos,630.00
02 Sep 2016,49,28 Sep 2016,CONS. $  ,02 Sep 2016,0000637 ,XXXX XXXX XXXX9190,0,0,pesos,1.053.00
